"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 01, 2021","1.83250","1.51150","1.83250","1.51150","1.17M","21.24%"
"Dec 31, 2020","1.51150","1.53530","1.53530","1.51150","907.75K","-1.55%"
"Dec 30, 2020","1.53530","1.67400","1.67400","1.53530","591.66K","-8.29%"
"Dec 29, 2020","1.67400","1.51910","1.67400","1.51910","571.87K","10.20%"
"Dec 28, 2020","1.51910","1.30240","1.51910","1.30240","549.13K","16.64%"
"Dec 27, 2020","1.30240","1.32790","1.37850","1.28320","573.18K","-1.92%"
"Dec 26, 2020","1.32790","1.44430","1.44430","1.32790","562.53K","-8.06%"
"Dec 25, 2020","1.44430","1.35930","1.44430","1.35930","525.94K","6.25%"
"Dec 24, 2020","1.35930","1.20460","1.35930","1.20460","542.37K","12.84%"
"Dec 23, 2020","1.20460","1.48730","1.48730","1.20460","572.54K","-19.01%"
"Dec 22, 2020","1.48730","1.54290","1.55150","1.48130","548.86K","-3.60%"
"Dec 21, 2020","1.54290","1.56460","1.56460","1.51070","491.13K","-1.39%"
"Dec 20, 2020","1.56460","1.66780","1.66780","1.56460","574.67K","-6.19%"
"Dec 19, 2020","1.66780","1.69270","1.69270","1.66780","612.74K","-1.47%"
"Dec 18, 2020","1.69270","1.68170","1.69270","1.68170","590.61K","0.65%"
"Dec 17, 2020","1.68170","1.78120","1.78660","1.68170","552.19K","-5.59%"
"Dec 16, 2020","1.78120","1.75460","1.78120","1.67500","583.46K","1.52%"
"Dec 15, 2020","1.75460","1.70880","1.75460","1.70650","575.93K","16.36%"
"Dec 12, 2020","1.50790","1.44700","1.50790","1.44700","896.33K","4.21%"
"Dec 11, 2020","1.44700","1.57930","1.57930","1.44700","909.58K","-8.38%"
"Dec 10, 2020","1.57930","1.66300","1.66300","1.57930","890.90K","-5.03%"
"Dec 09, 2020","1.66300","1.66010","1.66300","1.66010","952.20K","0.17%"
"Dec 08, 2020","1.66010","1.83140","1.83140","1.66010","944.94K","-9.35%"
"Dec 07, 2020","1.83140","1.85240","1.87320","1.83140","1.07M","-1.13%"
"Dec 06, 2020","1.85240","1.98420","1.98420","1.85240","1.08M","-6.64%"
"Dec 05, 2020","1.98420","1.85400","1.98420","1.85400","1.07M","7.02%"
"Dec 04, 2020","1.85400","2.09940","2.09940","1.85400","1.11M","-11.69%"
"Dec 03, 2020","2.09940","2.11370","2.19180","2.09940","1.28M","-0.68%"
"Dec 02, 2020","2.11370","1.96390","2.11370","1.96390","1.18M","7.63%"
"Dec 01, 2020","1.96390","1.96360","1.96390","1.96360","1.11M","0.02%"
"Nov 30, 2020","1.96360","1.91730","1.96360","1.91520","1.05M","2.41%"
"Nov 29, 2020","1.91730","1.88720","1.92710","1.88720","1.05M","1.59%"
"Nov 28, 2020","1.88720","1.85580","1.88720","1.85580","1.14M","1.69%"
"Nov 27, 2020","1.85580","1.89030","1.89030","1.85580","1.21M","-1.83%"
"Nov 26, 2020","1.89030","2.27420","2.27420","1.84060","1.21M","-16.88%"
"Nov 25, 2020","2.27420","2.27600","2.27600","2.27420","2.92M","-0.08%"
"Nov 24, 2020","2.27600","2.27700","2.27700","2.18440","1.44M","-0.11%"
"Nov 23, 2020","2.27850","2.15250","2.29290","2.15250","1.30M","5.85%"
"Nov 22, 2020","2.15250","2.39720","2.39720","2.15250","1.29M","-10.21%"
"Nov 21, 2020","2.39720","2.10680","2.45380","2.10680","1.55M","13.78%"
"Nov 20, 2020","2.10680","2.08320","2.10680","2.08320","1.25M","1.13%"
"Nov 19, 2020","2.08320","2.12390","2.15150","2.02590","1.25M","-1.92%"
"Nov 18, 2020","2.12390","2.19910","2.19910","2.12390","1.31M","-3.42%"
"Nov 17, 2020","2.19910","2.26250","2.26250","2.16570","1.28M","-2.80%"
"Nov 16, 2020","2.26250","2.04700","2.35780","2.04700","1.25M","10.53%"
"Nov 15, 2020","2.04700","1.92130","2.15240","1.92130","1.21M","6.54%"
"Nov 14, 2020","1.92130","2.01760","2.01760","1.92130","1.08M","-4.77%"
"Nov 13, 2020","2.01760","1.90360","2.01760","1.90360","1.09M","5.99%"
"Nov 12, 2020","1.90360","2.00610","2.00610","1.90360","1.16M","-5.11%"
"Nov 11, 2020","2.00610","2.26130","2.26130","2.00610","1.25M","-11.29%"
"Nov 10, 2020","2.26130","2.03070","2.26130","2.03070","1.47M","11.36%"
"Nov 09, 2020","2.03070","2.14380","2.14380","2.02810","1.85M","-5.28%"
"Nov 08, 2020","2.14380","2.02650","2.14380","1.97500","1.75M","5.79%"
"Nov 07, 2020","2.02650","1.91500","2.12750","1.91500","2.31M","5.82%"
"Nov 06, 2020","1.91500","1.40530","1.91500","1.40530","1.22M","36.27%"
"Nov 05, 2020","1.40530","1.39510","1.48340","1.32230","761.26K","0.73%"
"Nov 04, 2020","1.39510","1.41320","1.41320","1.35700","789.62K","-1.28%"
"Nov 03, 2020","1.41320","1.48090","1.48090","1.41320","924.71K","-4.57%"
"Nov 02, 2020","1.48090","1.60250","1.60250","1.48090","903.25K","-7.59%"
"Nov 01, 2020","1.60250","1.55280","1.60250","1.53240","763.10K","3.20%"
